"numNodes","treatmentID","algorithm","removeOverlap","time","layerCount","displacement","pathLength","overflowSpace","overlapCount","overlapSpace","overDensitySpace","weightedAllocatedSpace"
120,4,"overlap",,75.4854902,33.6,5529.3,17946.7,7.1,0,0,893.6,120890.6
120,5,"overlap",false,58.84198339999999,33.6,0,0,53.65,853,4240.5,893.6,120890.6
130,0,"none",false,0.0349614,1,0,0,81.75,1141.9,20166.4,4483.2,0
130,1,"none",,1.3403835000000002,1,142311.1,142311.1,4060.95,0,0,4483.2,0
130,2,"simple",,3.4284565999999996,12.1,5122.2,22932,938.45,0,0,2653.9,27199
130,3,"simple",false,0.24702659999999996,12.1,0,0,81.75,699,865.1,2653.9,27199
130,4,"overlap",,92.2249962,39,7489.1,23074.9,9.6,0,0,1632.3,159769.7
130,5,"overlap",false,78.2223807,39,0,0,81.75,1089.8,4948.7,1632.3,159769.7
140,0,"none",false,0.061711800000000004,1,0,0,83.3,1275.5,22047.8,4780.2,0
140,1,"none",,0.8677547999999998,1,165074.7,165074.7,4328.95,0,0,4780.2,0
140,2,"simple",,4.388289500000001,12.8,5713.4,25629,1107.55,0,0,3028.4,30654.7
140,3,"simple",false,0.2700125,12.8,0,0,83.3,785.6,893.05,3028.4,30654.7
140,4,"overlap",,112.7034816,43.5,7690.5,25205.1,14.6,0,0,2498.4,197479.9
140,5,"overlap",false,101.64257219999999,43.5,0,0,83.35,1235.9,5076.65,2498.4,197479.9
150,0,"none",false,0.0407618,1,0,0,99.25,1478.6,25898.8,5194.6,0
150,1,"none",,1.0113185999999998,1,192426.4,192426.4,4712.65,0,0,5194.6,0
150,2,"simple",,5.4178820000000005,13.8,6843.4,29448,1340.05,0,0,3549.3,35944
150,3,"simple",false,0.27794900000000006,13.8,0,0,99.35,913.1,1061.5,3549.3,35944
150,4,"overlap",,135.13581349999998,49,8608.6,34945.2,35.5,0,0,3623.6,246563.1
150,5,"overlap",false,120.8961394,49,0,0,99.35,1515.2,5780.45,3623.6,246563.1
160,0,"none",false,0.0464584,1,0,0,93.15,1685.6,29941.85,5592.2,0
160,1,"none",,1.0128723,1,220879.8,220879.8,5080,0,0,5592.2,0
160,2,"simple",,6.4807255,14.7,7466.4,33433.6,1517.35,0,0,4069.4,41620.2
160,3,"simple",false,0.2783763,14.7,0,0,93.15,1050.9,1214.05,4069.4,41620.2
160,4,"overlap",,167.18304210000002,54,9773.4,49984.4,118.9,0,0,4910.3,299811.4
160,5,"overlap",false,137.79848280000002,54,0,0,95.7,1793,6333.9,4910.3,299811.4
170,0,"none",false,0.04005499999999999,1,0,0,101.1,1925.7,33903.25,6010,0
170,1,"none",,0.9401755999999999,1,252840.5,252840.5,5466.7,0,0,6010,0
170,2,"simple",,6.065339999999999,15.6,9089.5,38381.9,1753.65,0,0,4653.8,47707.3
170,3,"simple",false,0.47971050000000004,15.6,0,0,101.1,1186.3,1297.65,4653.8,47707.3
170,4,"overlap",,195.9012844,58.8,9434.5,62233.5,338.35,0,0,6522.8,355074.5
170,5,"overlap",false,171.22821810000002,58.8,0,0,103.9,2033.2,6844.65,6522.8,355074.5
180,0,"none",false,0.048126600000000005,1,0,0,107.95,2136.1,37709.3,6333.7,0
180,1,"none",,1.0550007000000001,1,283189.8,283189.8,5761.25,0,0,6333.7,0
180,2,"simple",,7.2258045,16.7,9752.9,43169.1,1918.7,0,0,5175.9,54574.8
180,3,"simple",false,0.4083234,16.7,0,0,108,1351.5,1498.7,5175.9,54574.8
180,4,"overlap",,235.517987,63.9,10953.6,75944.2,598.15,0,0,8175.4,419880.6
180,5,"overlap",false,204.27798510000002,63.9,0,0,108.1,2389.4,7321.7,8175.4,419880.6
190,0,"none",false,0.04945769999999999,1,0,0,93.6,2378.2,42169.15,6727.8,0
190,1,"none",,1.1865368,1,316895.1,316895.1,6125.45,0,0,6727.8,0
190,2,"simple",,8.6476845,17.3,11136.1,49645.5,2188.1,0,0,5861.7,60883.3
190,3,"simple",false,0.419296,17.3,0,0,93.65,1536.3,1654.25,5861.7,60883.3
190,4,"overlap",,264.1778428,69,11583,84373,857.1,0,0,10110.8,489589.9
190,5,"overlap",false,225.20390579999997,69,0,0,94,3033.1,7971.8,10110.8,489589.9
200,0,"none",false,0.0757222,1,0,0,124.4,2662.8,47279,7119.6,0
200,1,"none",,1.1424422,1,355175.2,355175.2,6487,0,0,7119.6,0
200,2,"simple",,9.243362000000001,18.1,13120.5,56777.5,2464.75,0,0,6574.7,67492.9
200,3,"simple",false,0.3813587,18.1,0,0,124.45,1704,1890.95,6574.7,67492.9
200,4,"overlap",,323.03887100000003,73.8,13259.4,97737,1347.75,0,0,12225.3,565237.6
200,5,"overlap",false,269.3336366,73.8,0,0,124.45,3252.2,8830.55,12225.3,565237.6
210,0,"none",false,0.0528085,1,0,0,140.45,2896.5,51042.7,7483.9,0
210,1,"none",,1.2869848999999998,1,388508.1,388508.1,6821.65,0,0,7483.9,0
210,2,"simple",,11.078254000000001,19.2,13477.3,59724.1,2741.75,0,0,7300,76425.1
210,3,"simple",false,0.6748661,19.2,0,0,140.45,1891.2,1998.65,7300,76425.1
210,4,"overlap",,352.41572990000003,79,15574,99823.6,1698.35,0,0,14502.7,648283.5
210,5,"overlap",false,289.71603780000004,79,0,0,144.2,3784.6,9135.35,14502.7,648283.5
220,0,"none",false,0.0624364,1,0,0,152.95,3148.5,55684.45,7829.4,0
220,1,"none",,1.4015535,1,426860.7,426860.7,7138.1,0,0,7829.4,0
220,2,"simple",,11.7723117,19.9,14510,69947.2,3002.5,0,0,8065.6,84052.8
220,3,"simple",false,0.5950433,19.9,0,0,153,2057.8,2185.95,8065.6,84052.8
220,4,"overlap",,402.8918611,83.7,15717.5,113943.3,2089.55,0,0,17004.6,734573.1
220,5,"overlap",false,337.78099249999997,83.7,0,0,155.55,4048.4,9784.4,17004.6,734573.1
230,0,"none",false,0.05833459999999999,1,0,0,146.35,3477.2,60698.3,8165,0
230,1,"none",,1.4714248,1,466366.4,466366.4,7442.3,0,0,8165,0
230,2,"simple",,13.429170799999998,20.7,16699.7,73360.5,3296.3,0,0,8751.9,90741.1
230,3,"simple",false,0.48780520000000005,20.7,0,0,146.55,2279.2,2419.8,8751.9,90741.1
230,4,"overlap",,466.1693240000001,89,18714,148785.6,2818.75,0,0,19673.4,833494.2
230,5,"overlap",false,388.5109297,89,0,0,147.05,4656.5,10225.75,19673.4,833494.2
240,0,"none",false,0.0609839,1,0,0,158.2,3844.9,67842.95,8596.1,0
240,1,"none",,1.3756855000000001,1,511801.4,511801.4,7845.15,0,0,8596.1,0
240,2,"simple",,14.800314700000001,21.8,18342.3,81813.5,3640.15,0,0,9636.9,101833.3
240,3,"simple",false,0.6760946999999999,21.8,0,0,158.2,2612.3,2798.05,9636.9,101833.3
240,4,"overlap",,516.6718751999999,93.8,18317.9,159888.5,3420.7,0,0,22671.2,934661
240,5,"overlap",false,439.0663687,93.8,0,0,163.3,5644.7,11631.95,22671.2,934661
250,0,"none",false,0.05453450000000001,1,0,0,169.25,4048.8,70731.8,8920.2,0
250,1,"none",,1.5451444,1,553522.3,553522.3,8140.2,0,0,8920.2,0
250,2,"simple",,16.800955100000003,22.6,19631.7,88912.3,3904.45,0,0,10357.3,109993.7
250,3,"simple",false,0.8649916999999998,22.6,0,0,169.25,2707.4,2790.5,10357.3,109993.7
250,4,"overlap",,568.0293985,98.3,21402.3,160560.1,4108.35,0,0,25804.4,1037973
250,5,"overlap",false,491.3359251,98.3,0,0,170,5764.6,11985.35,25804.4,1037973
